,word,freq,map
1151,solidaritas,251,
1152,lekas,250,
1153,hehe,250,no
1154,libat,249,
1155,widodo,249,
1156,kampus,249,
1157,suasana,249,
1158,kaga,249,no
1159,demam,249,
1160,padang,248,
1161,un,248,
1162,pp,248,no
1163,undang,247,
1164,strategi,247,
1165,influencer,247,
1166,open,247,
1167,kamar,246,
1168,hubei,246,
1169,bahu,246,
1170,sang,246,no
1171,cemas,245,
1172,jemaah,244,
1173,hormat,244,
1174,capek,244,
1175,hahaha,243,no
1176,produktif,243,
1177,nyari,243,cari
1178,dri,243,no
1179,repost,243,
1180,laut,243,
1181,virtual,243,
1182,jabodetabek,242,
1183,pribadi,242,
1184,suci,242,
1185,pekan,242,
1186,bangga,242,
1187,bnyk,242,no
1188,bersamalawancorona,241,
1189,gampang,241,
1190,diem,240,diam
1191,galang,240,
1192,budaya,240,
1193,umur,240,
1194,diskusi,239,
1195,listrik,239,
1196,pcr,238,
1197,jadwal,237,
1198,minimal,237,
1199,bosan,237,
1200,instruksi,237,
1201,mochamadarip,237,
1202,sulsel,237,
1203,benci,236,
1204,rantau,236,
1205,situ,235,
1206,te,235,no
1207,gelombang,234,
1208,liar,234,
1209,napas,234,
1210,teknologi,234,
1211,sengaja,234,
1212,syarat,234,
1213,pegawai,233,
1214,plis,233,no
1215,lelah,233,
1216,duh,233,no
1217,jagajarak,233,
1218,grup,232,
1219,kacau,232,
1220,poldajateng,232,
1221,suhu,232,
1222,so,231,no
1223,sars,231,
1224,kasihan,231,
1225,jamu,231,
1226,n95,231,
1227,fadlizon,230,
1228,detikfinance,230,
1229,transportasi,230,
1230,tan,230,no
1231,musibah,230,
1232,target,229,
1233,rusak,229,
1234,darisuara,229,
1235,paru,229,
1236,dinkes,229,
1237,dorong,228,
1238,kyk,228,no
1239,tema,228,
1240,immunity,228,
1241,denger,228,dengar
1242,hikmah,228,
1243,like,228,
1244,bos,228,
1245,gatau,228,no
1246,idi,228,
1247,labuh,227,
1248,unjung,227,
1249,imunitas,227,
1250,al,226,no
1251,inti,226,
1252,egois,226,
1253,gandeng,225,
1254,ayah,225,
1255,sleman,225,
1256,whatsapp,225,
1257,my,225,no
1258,mantan,225,
1259,sma,225,
1260,mundur,225,
1261,lembaga,224,
1262,opo,224,no
1263,korupsi,224,
1264,tni-polri-pemda,224,
1265,nekat,223,
1266,kubur,223,
1267,bangsat,223,
1268,gus,222,
1269,nkri,222,
1270,ridwankamil,222,
1271,be,222,no
1272,lab,221,
1273,ndak,221,no
1274,na,221,no
1275,umroh,221,umrah
1276,prioritas,221,
1277,mal,220,
1278,jasa,219,
1279,hudhi,219,
1280,disease,219,
1281,bismillah,219,
1282,pakar,218,
1283,kampanye,218,
1284,olah,218,
1285,gantung,218,
1286,jaya,218,
1287,kang,218,no
1288,laboratorium,218,
1289,maksimal,217,
1290,us,217,amerika
1291,thr,217,
1292,rek,217,no
1293,kucing,217,
1294,sumatera,216,
1295,kagak,216,no
1296,tpi,216,no
1297,batam,216,
1298,we,216,no
1299,ii,215,no
1300,sebenernya,215,no
1301,stok,215,
1302,terbit,215,
1303,rajin,214,
1304,koordinasi,214,
1305,nyebar,214,sebar
1306,anjir,214,no
1307,usir,213,
1308,alloh,213,allah
1309,sasar,213,
1310,kabur,213,
1311,infografis,213,
1312,layak,212,
1313,gaes,212,no
1314,mental,212,
1315,negri,212,negeri
1316,juliaribatubara,212,
1317,juru,212,
1318,l07,211,
1319,innalillahi,211,
1320,this,211,no
1321,bus,211,
1322,yaaa,211,no
1323,miris,210,
1324,garut,210,
1325,komisi,209,
1326,kucur,209,
1327,skenario,209,
1328,konsumsi,209,
1329,kadang,208,
1330,matahari,208,
1331,order,208,
1332,musnah,208,
1333,kelola,208,
1334,tangguh,208,
1335,murah,208,
1336,drpd,208,
1337,bidang,208,
1338,puncak,208,
1339,kompascom,208,
1340,ventilator,207,
1341,bpk,207,
1342,peluk,207,
1343,area,207,
1344,badai,207,
1345,batu,207,
1346,kaget,207,
1347,sayur,207,
1348,haha,207,no
1349,tri,207,no
1350,by,206,no
1351,desinfektan,206,disinfektan
1352,gausah,205,no
1353,netizen,205,
1354,senang,205,
1355,jaman,205,zaman
1356,breaking,205,
1357,riwayat,204,
1358,karo,204,no
1359,rokok,203,
1360,masif,203,
1361,blt,203,
1362,dar,203,no
1363,bbrp,203,no
1364,azab,203,
1365,novel,203,
1366,polrisiapamankanjatim,202,
1367,luncur,202,
1368,terserahindonesia,202,
1369,abang,202,no
1370,instagram,202,
1371,mikirin,202,pikir
1372,it,202,no
1373,hujan,202,
1374,dkijakarta,201,
1375,resah,201,
1376,inget,201,no
1377,pdhl,201,no
1378,sepakat,201,
1379,berangkat,201,
1380,hambat,201,
1381,sisa,201,
1382,ngopi,201,kopi
1383,wujud,201,
1384,ustadtengkuzul,201,
1385,cocok,201,
1386,sulawesi,200,
1387,maha,200,
1388,menghimbau,200,imbau
1389,kim,200,no
1390,walikota,200,
1391,wna,198,
1392,komunikasi,198,
1393,krna,198,no
1394,jiayou,198,
1395,riset,198,
1396,kesel,197,kesal
1397,outbreak,197,
1398,bela,197,
1399,ojol,197,
1400,otoritas,197,
1401,tolakdaruratsipil,197,
1402,lha,196,no
1403,kaki,196,
1404,ala,196,
1405,putih,196,
1406,diskon,196,
1407,yaallah,196,no
1408,mahal,196,
1409,mulut,195,
1410,komentar,195,
1411,hmm,195,no
1412,ngakak,195,no
1413,insentif,195,
1414,fraksi,195,
1415,maklumat,194,
1416,wajar,194,
1417,prof,194,
1418,susul,194,
1419,ampun,194,
1420,cm,194,no
1421,jajan,193,
1422,pks,193,
1423,kumpar,192,
1424,kian,192,
1425,ras,192,
1426,istana,192,
1427,google,192,
1428,angin,192,
1429,all,192,
1430,rela,191,
1431,senjata,191,
1432,ayam,191,
1433,rem,190,
1434,oke,190,no
1435,wanita,190,
1436,mohmahfudmd,189,
1437,rmh,189,rumah
